# Поправки ударений: модель Silero Stress ставит иначе, AOT и Викисловарь согласны. tools/stress_fixes.py build
# слово = ударение  # частота в субтитрах, как ставит модель, разбор AOT
проводкам = пров+одкам  # 2, модель проводк+ам, проводка:N:inanim,fem,pl,dat
проводках = пров+одках  # 2, модель проводк+ах, проводка:N:inanim,fem,pl,prp
проплывите = проплыв+ите  # 2, модель пропл+ывите, проплыть:V:perf,trans,act,imp,2p,pl
прослеженный = просл+еженный  # 2, модель прослеж+енный, проследить:PARTICIPLE:perf,trans,anim,inanim,past,pass,sg,mas,nom
размыкая = размык+ая  # 2, модель разм+ыкая, размыкать:ADV_PARTICIPLE:imperf,trans,act,pres
рассыпаетесь = рассып+аетесь  # 2, модель расс+ыпаетесь, рассыпаться:V:imperf,intrans,act,pres,2p,pl
репризах = репр+изах  # 2, модель реприз+ах, реприза:N:inanim,fem,pl,prp
ретивая = рет+ивая  # 2, модель ретив+ая, ретивый:A:qual,fem,sg,nom,anim,inanim
слойками = сл+ойками  # 2, модель слойк+ами, слойка:N:inanim,fem,pl,ins
стелитесь = стел+итесь  # 2, модель ст+елитесь, стелиться:V:imperf,intrans,act,imp,2p,pl
стопорится = ст+опорится  # 2, модель стопор+ится, стопориться:V:imperf,intrans,act,pres,3p,sg
стремили = стрем+или  # 2, модель стр+емили, стремить:V:imperf,trans,act,past,pl
ступицу = ступ+ицу  # 2, модель ст+упицу, ступица:N:inanim,fem,sg,acc
таксистах = такс+истах  # 2, модель т+аксистах, таксист:N:anim,mas,pl,prp
татуированными = тату+ированными  # 2, модель татуир+ованными, татуировать:PARTICIPLE:perf,imperf,trans,anim,inanim,past,pass,pl,ins
теплящейся = т+еплящейся  # 2, модель тепл+ящейся, теплиться:PARTICIPLE:imperf,intrans,anim,inanim,pres,act,sg,fem,dat
уличи = улич+и  # 2, модель +уличи, уличить:V:perf,trans,act,imp,2p,sg
усаживаем = ус+аживаем  # 2, модель усажив+аем, усаживать:PARTICIPLE_SHORT:imperf,trans,anim,inanim,pres,pass,sg,mas
фюзеляжи = фюзел+яжи  # 2, модель фюзеляж+и, фюзеляж:N:inanim,mas,pl,acc
шикнуть = ш+икнуть  # 2, модель шикн+уть, шикнуть:INFINITIVE:perf,intrans,act
язя = яз+я  # 2, модель +язя, язь:N:anim,mas,sg,acc
аденом = аден+ом  # 1, модель +аденом, аденома:N:inanim,fem,pl,gen
акрополю = акр+ополю  # 1, модель +акрополю, акрополь:N:inanim,mas,sg,dat
апплеты = аппл+еты  # 1, модель +апплеты, апплет:N:inanim,mas,pl,acc
